华为笔记本电脑MateBook D 14 2022 12代酷睿版 i5 16G 512G 锐炬显卡/轻薄本/14英寸护眼全面屏/手机互联 银,4599.00,50万+,华为京东自营官方旗舰店
联想笔记本电脑 小新Air14 英特尔酷睿i5 14英寸轻薄本(i5 16G 512G 高色域 大电池)银 商务办公手提电脑,3499.00,20万+,联想京东自营旗舰店
联想（Lenovo）拯救者Y9000P 2023 英特尔酷睿i9 16英寸游戏笔记本电脑(13代i9-13900HX 16G 1T RTX4060 2.5k 240Hz高色域),9999.00,2万+,联想京东自营旗舰店
小米笔记本电脑 红米 RedmiBookPro 14英寸 2.5K高清屏 高性能轻薄本(R5 16G 512G 商务办公 长续航 全金属),3499.00,20万+,小米京东自营旗舰店
机械革命（MECHREVO）极光Pro 15.6英寸游戏本 笔记本电脑(i7-12650H 16G 512G RTX4050 165HZ 2.5K屏),5999.00,10万+,机械革命京东自营官方旗舰店
戴尔笔记本电脑dell灵越3511 15.6英寸全面屏轻薄本(酷睿i5 16G 512G 锐炬显卡)银 微边框 独立数字小键盘,3599.00,5万+,戴尔京东自营官方旗舰店
ROG魔霸新锐 2023 第13代英特尔酷睿i7 16英寸 星云屏 电竞游戏本笔记本电脑(i7-13650HX 液金导热16G 1T RTX4060 2.5K 240Hz P3广色域),10999.00,1万+,玩家国度ROG京东自营官方旗舰店
联想笔记本电脑小新Pro14 英特尔Evo平台 高性能游戏轻薄本(12核标压i5-12500H 16G 512G 2.8K 120Hz)银办公,4799.00,20万+,联想京东自营旗舰店
荣耀笔记本电脑MagicBook X 14 2023 12代酷睿标压i5 16G 512G 100%sRGB高色域 轻薄本 大电池 手机互联,3699.00,1万+,荣耀京东自营旗舰店
联想笔记本电脑小新14 英特尔酷睿i5 14英寸轻薄本(13代i5 16G 512G 16:10大视野) 商务办公学习电脑,4199.00,20万+,联想京东自营旗舰店
联想ThinkBook 14+ 2023款 13代酷睿i5英特尔Evo平台 14英寸标压轻薄笔记本i5-13500H 16G 512G 2.8K 90Hz,5299.00,10万+,ThinkPad京东自营旗舰店
联想笔记本电脑IdeaPad 15.6英寸轻薄本(锐龙8核 R7 8G 512G 全高清防眩光屏) 网课商务办公 预装正版win11,2999.00,10万+,联想京东自营旗舰店
【RTX3050Ti】小米 Redmi G游戏本 2022,5678.00,2万+,小米京东自营旗舰店
联想笔记本电脑 小新Pro16 英特尔酷睿i5高性能游戏轻薄本(12核标压i5-12500H 16G 512G 2.5K 120Hz)商务办公,4999.00,20万+,联想京东自营旗舰店
惠普(HP)战66 六代2023酷睿15.6英寸(英特尔13代i5-1340P 16G 1T 2.5K高色域屏120HZ)高性能轻薄本电脑,5199.90,20万+,惠普京东自营官方旗舰店
AppleMacBookAir【教育优惠】13.3 8核M1芯片(7核图形处理器) 8G 256G SSD 深空灰 电脑 MGN63CH/A,7199.00,20万+,Apple产品京东自营旗舰店
华为笔记本电脑MateBook D 14 SE版 14英寸 11代酷睿 i5 8G+512G 轻薄本/高清护眼防眩光屏/手机互联 灰,3399.00,50万+,华为京东自营官方旗舰店
华硕无畏Pro15 2.8K 120Hz OLED屏新锐龙标压游戏轻薄笔记本电脑(R7-6800H 16G 512G RTX3050高色域)银,6599.00,1万+,华硕京东自营官方旗舰店
联想ThinkBook 16p 英特尔酷睿i9 16英寸高性能轻薄创作本 i9-13900H 16G 1T RTX4060 3.2K 165Hz,9999.00,1,ThinkPad京东自营旗舰店
联想笔记本电脑小新Pro14超能本 13代酷睿i5 英特尔Evo 14英寸轻薄本(标压i5-13500H 16G 1T 2.8K 高刷屏)灰,5499.00,20万+,联想京东自营旗舰店
惠普(HP)战66 六代 2023酷睿14英寸(英特尔13代i5-1340P 16G 1T长续航 高色域低功耗)高性能轻薄本电脑,4899.00,20万+,惠普京东自营官方旗舰店
华硕Vivobook15 英特尔酷睿i3 15.6英寸高清大屏学生网课轻薄笔记本电脑(i3 8G 256G 低蓝光 护眼屏 WIN11)银,2299.00,1万+,华硕京东自营官方旗舰店
联想ThinkBook 14+ 英特尔酷睿i5 14英寸标压便携轻薄笔记本电脑i5-12500H 16G 512G 2.8K 90Hz,4999.00,10万+,ThinkPad京东自营旗舰店
荣耀笔记本电脑MagicBook X 16 Pro 2023 13代酷睿标压i5-13500H 16+1T 16吋高性能轻薄本 大电池 手机互联,4699.00,1万+,荣耀京东自营旗舰店
戴尔14pro14英寸超轻薄笔记本电脑,3429.00,1万+,戴尔维克特睿笔记本专卖店
华硕无畏15 2023 13代酷睿i5标压 15.6英寸轻薄便携大屏高性能办公笔记本电脑(i5-13500H 16G 512G 护眼屏)银,4399.00,5万+,华硕京东自营官方旗舰店
惠普(HP)战66 14英寸(英特尔酷睿i5 16G 512G 长续航 高色域低功耗屏 1年上门)高性能轻薄本电脑,3999.00,20万+,惠普京东自营官方旗舰店
Apple MacBook Air 13.3 八核M1芯片(7核图形处理器) 8G 256G SSD 深空灰 笔记本电脑 MGN63CH/A,7999.00,20万+,Apple产品京东自营旗舰店
联想ThinkBook 14+ 2023款 英特尔酷睿i5 14英寸标压便携轻薄笔记本电脑i5-13500H 32G 512G 2.8K 90Hz,5999.00,10万+,ThinkPad京东自营旗舰店
惠普(HP)战66 15.6英寸(英特尔酷睿 i5 16G 512GB 长续航 高色域低功耗屏)高性能轻薄本电脑,4099.00,20万+,惠普京东自营官方旗舰店
Mirval （迈为）德国F5笔记本电脑手提超薄办公大学生上网课游戏设计商务学习英特尔轻薄本 【 F1 】8GB 银 【国行版】128GB 超速硬盘,1499.00,10万+,Mirval电脑办公官方旗舰店
荣耀笔记本MagicBook X 14 2022 14英寸全面屏轻薄笔记本电脑 （i5 8GB 512GB多屏协同）冰河银,2999.00,5万+,荣耀京东自营旗舰店
惠普(HP)战66六代锐龙版15.6英寸(2023锐龙R7-7730U 16G 512G长续航 高色域低蓝光屏)高性能轻薄本电脑,4499.00,20万+,惠普京东自营官方旗舰店
荣耀笔记本电脑MagicBook 14 2023 13代酷睿高性能轻薄本 标压i5-13500H 16G 512G 2.5K高刷屏 手机互联,4999.00,500+,荣耀京东自营旗舰店
AppleMacBookAir【教育优惠】13.3 8核M1芯片(7核图形处理器) 8G 256G SSD 银色 电脑 MGN93CH/A,7199.00,20万+,Apple产品京东自营旗舰店
